ccmaName,ccbaMnm1,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaKdcd,ccbaCtcd,ccbaAsno,ccbaCncl,ccbaCpno,longitude,latitude,gcodeName,bcodeName,mcodeName,scodeName,ccbaLcad,ccceName,b_class,b_reason,has_coord,grade_w
보물,감지금니 묘법연화경 권3~4,경북,경주시,국립경주박물관,12,37,0003140000000,N,1123703140000,129.227912382125,35.8293874259588,기록유산,전적류,필사본,사경,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",고려 말기,EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
보물,"백지묵서 묘법연화경 권1, 3",경북,경주시,국립경주박물관,12,37,0003150000000,N,1123703150000,129.227912382125,35.8293874259588,기록유산,전적류,필사본,사경,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",고려 창왕 1년(1389),EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
보물,감은사지 서 삼층석탑 사리장엄구,경북,경주시,국립경주박물관,12,37,0003660000000,N,1121103660000,129.227912382125,35.8293874259588,유물,불교공예,사리장치,사리장치,"<![CDATA[경상북도 경주시 일정로 186 (인왕동, 국립경주박물관)]]>",통일신라시대(7세기 후반),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,경주 양동 무첨당,경북,경주시,이＊＊＊,12,37,0004110000000,N,1123704110000,129.252714343803,36.0019540487402,유적건조물,주거생활,주거건축,가옥,<![CDATA[경북 경주시 강동면 양동마을안길 32-19 (양동리)]]>,조선시대 중기,B1,가옥·누정·서원·향교,Y,2.0
보물,경주 양동 향단,경북,경주시,여강이씨향단파회(대표자 이문환),12,37,0004120000000,N,1123704120000,129.252884111713,36.0000741830292,유적건조물,주거생활,주거건축,가옥,<![CDATA[경상북도 경주시 양동마을길  121-83(강동면) ]]>,조선시대 중기,B1,가옥·누정·서원·향교,Y,2.0
보물,경주 독락당,경북,경주시,이＊＊＊,12,37,0004130000000,N,1123704130000,129.160115532116,36.0166712648004,유적건조물,주거생활,주거건축,가옥,<![CDATA[경북 경주시 안강읍 옥산서원길 300-3 (옥산리)]]>,조선시대 중기,B1,가옥·누정·서원·향교,Y,2.0
보물,경주 기림사 건칠보살반가상,경북,경주시,기림사,12,37,0004150000000,N,1123704150000,129.3971458,35.8391182,유물,불교조각,건칠조,보살상,"<![CDATA[경상북도 경주시 기림로  437-17(문무대왕면, 기림사) ]]>",조선 연산군 7년(1501),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,포항 보경사 승탑,경북,포항시,보경사,12,37,0004300000000,N,1123704300000,129.318992046986,36.254304710929,유적건조물,종교신앙,불교,탑,"<![CDATA[경북 포항시 북구 송라면 보경로 533, 보경사 (중산리)]]>",고려시대,B2,석조물,Y,2.0
보물,경주 양동 관가정,경북,경주시,손＊＊＊,12,37,0004420000000,N,1123704420000,129.252010267559,35.9994687051447,유적건조물,주거생활,조경건축,누정,<![CDATA[경북 경주시 강동면 양동마을길 121-47 (양동리)]]>,조선시대 중기,B1,가옥·누정·서원·향교,Y,2.0
보물,울진 구산리 삼층석탑,경북,울진군,울진군,12,37,0004980000000,N,1123704980000,129.34710508384,36.9294651999082,유적건조물,종교신앙,불교,탑,<![CDATA[경북 울진군 근남면 구산리 1494-1번지]]>,,B2,석조물,Y,2.0
보물,여주이씨 옥산문중 전적 - 사마방목,경북,경주시,이＊＊＊,12,37,0005240000000,N,1123705240100,0,0,기록유산,전적류,활자본,금속활자본,<![CDATA[경상북도  경주시]]>,조선 중종 8년(1513),EXCLUDE,서책·문서 — 실내 소장품,N,2.0
보물,여주이씨 옥산문중 전적,경북,경주시,이＊＊＊,12,37,0005240000200,N,1123705240200,129.2271211,35.990195,기록유산,전적류,전적류,전적류,<![CDATA[경상북도  경주시]]>,16~17세기,EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
보물,여주이씨 옥산문중 유묵 - 해동명적,경북,경주시,이＊＊＊,12,37,0005260000000,N,1123705260100,0,0,기록유산,서간류,탁본류,탁본,<![CDATA[경상북도  경주시]]>,조선시대,EXCLUDE,서책·문서 — 실내 소장품,N,2.0
보물,"여주이씨 옥산문중 유묵 - 원조오잠, 사산오대",경북,경주시,이＊＊＊,12,37,0005260000200,N,1123705260200,129.1599347,36.0165918,기록유산,서간류,서예,서예,<![CDATA[경상북도  경주시]]>,,EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
보물,경주 골굴암 마애여래좌상,경북,경주시,경주시,12,37,0005810000000,N,1123705810000,129.405379183244,35.8033631678997,유물,불교조각,석조,불상,<![CDATA[경북 경주시 양북면 안동리 산304번지]]>,통일신라시대 후기,B2,야외 석불·마애불·암각화,Y,2.0
보물,이언적 수고본 일괄 - 속대학혹문,경북,경주시,옥＊＊＊,12,37,0005860000100,N,1123705860100,129.1633111,36.0117115,기록유산,전적류,필사본,사본류,<![CDATA[경상북도  경주시]]>,조선 명종 2∼8년(1547∼1553),EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
보물,이언적 수고본 일괄,경북,경주시,이＊＊＊,12,37,0005860000200,N,1123705860200,0,0,기록유산,전적류,필사본,사본류,<![CDATA[경상북도  경주시]]>,조선 명종 2∼8년(1547∼1553),EXCLUDE,서책·문서 — 실내 소장품,N,2.0
보물,천마총 금제 관식(1978-1),경북,경주시,국립경주박물관,12,37,0006170000000,N,1123706170000,129.227912382125,35.8293874259588,유물,생활공예,금속공예,장신구,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",신라시대(5∼6세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,천마총 금제 관식(1978-2),경북,경주시,국립경주박물관,12,37,0006180000000,N,1123706180000,129.227912382125,35.8293874259588,유물,생활공예,금속공예,장신구,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",신라시대(5∼6세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,천마총 목걸이,경북,경주시,국립경주박물관,12,37,0006190000000,N,1123706190000,129.227912382125,35.8293874259588,유물,생활공예,금속공예,장신구,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",신라시대(5∼6세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,천마총 유리잔,경북,경주시,국립경주박물관,12,37,0006200000000,N,1123706200000,129.227912382125,35.8293874259588,유물,생활공예,옥석공예,석공예,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",신라시대(5∼6세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,천마총 환두대도,경북,경주시,국립경주박물관,12,37,0006210000000,N,1123706210000,129.227912382125,35.8293874259588,유물,생활공예,금속공예,장신구,"<![CDATA[경상북도 경주시 일정로  186(인왕동, 국립경주박물관) ]]>",신라시대(5∼6세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,천마총 자루솥,경북,경주시,국립경주박물관,12,37,0006220000000,N,1123706220000,129.227912382125,35.8293874259588,유물,생활공예,금속공예,청동용구,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",신라시대(5∼6세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,황남대총 북분 금팔찌 및 금반지,경북,경주시,국립경주박물관,12,37,0006230000000,N,1123706230000,126.980350241652,37.5240413763397,유물,생활공예,금속공예,장신구,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관, 서울 용산구 서빙고로 137 국립중앙박물관 (인왕동,국립경주박물관)]]>",신라시대(5∼6세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,황남대총 북분 은제 관식,경북,경주시,국립경주박물관,12,37,0006250000000,N,1123706250000,129.227912382125,35.8293874259588,유물,생활공예,금속공예,장신구,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",신라시대(5∼6세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,황남대총 북분 금제 고배,경북,경주시,국립경주박물관,12,37,0006260000000,N,1123706260000,129.227912382125,35.8293874259588,유물,생활공예,금속공예,생활용구,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",신라시대(5∼6세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,황남대총 북분 금은제 그릇 일괄,경북,경주시,국립경주박물관,12,37,0006280000000,N,1123706280000,126.980350241652,37.5240413763397,유물,생활공예,금속공예,생활용구,"<![CDATA[경북 경주시 일정로 186, 서울 용산구 서빙고로 137 국립중앙박물관 (인왕동,국립경주박물관)]]>",신라시대(5∼6세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
