u,v,length_m,highway
530278107,530278104,38.3,residential
530278133,530278127,90.5,residential
530278127,530278122,27.0,residential
530278122,530278123,71.5,residential
8481047435,3724906527,65.2,service
3724906527,3724906526,27.1,service
3724906526,3724906525,25.2,service
3724906525,530278124,9.8,service
530278135,530278129,65.0,residential
530278129,530278131,27.6,residential
530278131,530278126,24.4,residential
530278126,530278125,11.8,residential
530278127,530278128,73.2,residential
530278130,3724906527,37.0,residential
530278136,530278147,70.1,residential
530278147,530278138,91.6,residential
530278138,530278137,48.9,residential
530278138,530278139,31.0,service
530278139,11079771521,36.1,service
530278140,530278139,65.5,service
530278139,530278141,49.1,service
530278134,530278143,141.3,service
7456158870,530278149,57.5,residential
530278149,530278150,51.9,residential
530278150,2911126344,37.4,residential
2911126344,530278151,35.9,residential
530278151,530278155,87.7,residential
530278155,530278154,16.1,residential
530278154,530278159,220.0,residential
530278187,5408960990,86.7,residential
5408960990,530278188,54.4,residential
530278189,13060930776,3.0,residential
13060930776,530278190,68.4,residential
530278190,530278196,69.6,residential
530278214,530278219,124.2,residential
530278219,530278193,17.2,residential
530278193,530278198,99.7,residential
530278198,529470358,53.4,residential
530278193,530278216,14.3,residential
530278216,530278217,14.5,residential
530278217,13060930723,4.2,residential
13060930723,530278194,9.1,residential
530278194,530278195,15.4,residential
530278195,530278196,24.1,residential
530278196,530278188,43.6,residential
530278188,530278145,66.6,residential
530278145,530278143,44.0,residential
530278143,530278136,38.4,residential
530278219,4309925785,91.3,residential
4309925785,530278232,64.8,residential
530278199,530278203,58.8,residential
530278203,530278201,37.6,residential
530278201,530278202,29.3,residential
530278202,13060768111,18.1,residential
13060768111,530278232,24.0,residential
530278232,530278234,28.2,residential
530278234,530278235,35.9,residential
530278235,530278236,67.2,residential
530278218,4309925785,129.8,residential
4309925785,13060768112,25.4,residential
13060768112,530278197,34.2,residential
530278197,5408960991,18.1,residential
5408960991,4309642478,35.3,residential
4309642478,13060930261,45.1,residential
13060930261,530278185,11.1,residential
530278198,4309642478,101.2,residential
4309642478,530278203,52.9,residential
6225822119,530278204,42.4,service
530278270,10883977439,8.9,tertiary
10883977439,530278271,65.9,tertiary
530278271,530278272,82.2,tertiary
530278272,530278273,115.6,tertiary
530278273,1470477179,28.8,tertiary
1470477179,530278274,33.3,tertiary
530278274,436666885,54.0,tertiary
530278275,530278210,126.7,residential
530278210,530278211,85.5,residential
530278211,13099201856,10.4,residential
13099201856,530278212,29.7,residential
530278212,530278213,59.9,residential
530278213,5373391896,82.9,residential
530278244,530278249,41.1,residential
530278249,530278250,24.5,residential
530278250,11079771515,22.4,residential
11079771515,530278248,5.0,residential
530278248,11079771516,11.0,residential
11079771516,11079771517,56.1,residential
11079771517,11079771518,31.6,residential
530278153,1882541521,39.0,residential
1882541521,530278148,47.2,residential
530278148,2911126344,33.2,residential
530278227,530278228,64.1,residential
530278149,530278230,96.5,residential
530278253,530278254,35.6,service
530278254,530278255,10.8,service
530278255,530278256,14.2,service
530278256,530278257,91.2,service
530278155,530278156,87.5,residential
530278156,530278157,17.9,residential
530278157,530278158,54.0,residential
530278114,530278119,31.2,residential
530278119,530278113,41.0,residential
530278113,530278094,77.7,residential
7437065257,530287017,53.0,residential
530287017,530287022,38.6,residential
530287022,530287021,35.6,residential
530287021,530287020,36.6,residential
530287020,7456175745,37.8,residential
7456175745,530287034,37.4,residential
530287034,530287033,36.5,residential
530287033,530282391,38.1,residential
530282391,530287030,36.5,residential
530287030,530287031,35.9,residential
530287031,530287032,36.8,residential
530287032,7456175744,37.8,residential
7456175744,530282380,37.9,residential
530282380,530282379,36.5,residential
530282379,530282378,34.4,residential
530282378,7456175743,34.3,residential
7456175743,530282382,94.9,residential
530282382,530282383,39.5,residential
530282383,530282384,31.4,residential
530282384,530282356,53.9,residential
530282356,530282357,10.9,residential
530282357,530282358,69.5,residential
530282358,530282352,56.2,residential
530282352,530282353,7.3,residential
530282353,530282354,25.8,residential
530282354,530282355,44.0,residential
530282355,530282341,70.7,residential
530282341,530282342,17.8,residential
530282342,530282348,46.3,residential
530282348,530282344,26.0,residential
530282344,530282347,16.8,residential
530282347,530282346,43.5,residential
530282346,530282345,39.9,residential
530282345,530282351,36.6,residential
530282351,530282330,36.7,residential
530282330,530282334,37.4,residential
530282334,530282335,38.7,residential
530282335,530282336,39.2,residential
530282336,530282331,38.6,residential
530282331,530286862,41.6,residential
530286862,530286856,53.9,residential
530286856,530282337,25.8,residential
530282337,5373440850,32.4,residential
530282359,530282362,66.9,residential
530282362,530282361,34.1,residential
530282361,530282342,68.0,residential
530282370,4310023320,47.2,residential
4310023320,530282349,26.8,residential
530282349,530282346,108.5,residential
7456175743,7456175742,34.7,residential
7456175742,3969210070,80.0,residential
3969210070,530282367,47.6,residential
530282367,530282368,25.6,residential
530282368,530282376,60.3,residential
530282376,530282330,102.7,residential
530282385,530282386,40.1,residential
530282386,530282360,34.9,residential
530282360,530282359,37.2,residential
530282386,4309857132,101.0,living_street
4309857132,530282347,114.2,living_street
530282360,4309949312,101.0,living_street
4309949312,530282348,92.5,living_street
530282367,4310023320,98.5,residential
530282368,530282369,30.9,living_street
530282369,530282350,34.1,living_street
530282350,530282349,33.8,living_street
530282350,11507258919,59.4,living_street
11507258919,530282345,67.5,living_street
530282369,11507258920,60.1,living_street
11507258920,530282351,84.7,living_street
530282377,3969210073,37.4,residential
7456175741,530282371,15.4,service
530282371,530282388,17.3,service
530282388,530282372,22.6,service
530282372,530282373,11.4,service
7456175741,530282385,18.3,service
7456175742,530282389,97.5,living_street
530282378,3969210071,115.4,living_street
3969210071,3969210067,133.5,living_street
3969210067,530282334,116.0,living_street
