feature_id,name,lat,lon,lat2,lon2,sigungu,weight,geom,value,source
A6,고천지천로(임동면),36.5668866,128.964854,36.5666363,128.9647359,안동시,557,segment,0.0,가로수길 표준데이터 수종분류
A6,노루매기길(임동면),36.5557463,128.9225579,36.5558484,128.922929,안동시,157,segment,0.5,가로수길 표준데이터 수종분류
A6,지례예술촌길(임동면),36.5283142,128.9407011,36.528308,128.9410805,안동시,231,segment,0.0,가로수길 표준데이터 수종분류
A6,"임예로(임동면,예안면)",36.6564453,128.8862673,36.6522878,128.8865125,안동시,941,segment,1.0,가로수길 표준데이터 수종분류
A6,마령산해로(임동면),36.5850046,128.9556046,36.5849884,128.9554925,안동시,91,segment,1.0,가로수길 표준데이터 수종분류
A6,챗거리길(임동면),36.5646737,128.9181775,36.5651266,128.9180323,안동시,147,segment,0.0,가로수길 표준데이터 수종분류
A6,편항길(임동면),36.5675785,128.9179589,36.567925,128.9182579,안동시,27,segment,0.333,가로수길 표준데이터 수종분류
A6,기사길(예안면),36.6655991,128.8547395,36.6653066,128.855012,안동시,395,segment,0.0,가로수길 표준데이터 수종분류
A6,농암로(예안면),36.6604699,128.8479511,36.6609704,128.8482091,안동시,1107,segment,0.667,가로수길 표준데이터 수종분류
A6,부포로(예안면),36.6888874,128.8755926,36.6889272,128.8759292,안동시,283,segment,1.0,가로수길 표준데이터 수종분류
A6,강변로,35.833609,129.202714,35.888451,129.228861,경주시,2430,segment,0.5,가로수길 표준데이터 수종분류
A6,계림로,35.840388,129.213568,35.835152,129.216281,경주시,176,segment,1.0,가로수길 표준데이터 수종분류
A6,백일홍명품길,36.72189213,129.4421429,36.72559379,129.3411206,울진군,330,segment,1.0,가로수길 표준데이터 수종분류
A6,벚나무길,35.746849,128.275341,35.797066,128.172054,고령군,1122,segment,1.0,가로수길 표준데이터 수종분류
A6,은행나무길,35.682758,128.230441,35.676874,128.186934,고령군,685,segment,0.0,가로수길 표준데이터 수종분류
A6,경북주유소~이산건널목 가로수길,36.8023952,128.631394,36.8293819,128.6362821,영주시,1032,segment,1.0,가로수길 표준데이터 수종분류
A6,순흥통로 단풍나무 가로수길,36.8322292,128.6151921,36.9133734,128.5737421,영주시,1389,segment,0.0,가로수길 표준데이터 수종분류
A6,서천제방변 가로수길,36.8298871,128.6146525,36.8007289,128.6177486,영주시,508,segment,1.0,가로수길 표준데이터 수종분류
