feature_id,name,lat,lon,value,group_id,seq,sigungu,geom,source
A4,암반,36.932196,129.418074,암반,902,0,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.932173,129.417977,암반,902,1,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.051954,129.579268,암반,911,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.051857,129.579142,암반,911,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.051827,129.579306,암반,911,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.051859,129.579468,암반,911,3,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.051942,129.579326,암반,911,4,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.051954,129.579268,암반,911,5,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.804979,129.458451,자갈,926,0,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.805186,129.45841,자갈,926,1,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.805325,129.458419,자갈,926,2,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.805486,129.458475,자갈,926,3,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.805629,129.458527,자갈,926,4,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.80578,129.458574,자갈,926,5,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.805937,129.458516,자갈,926,6,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.806,129.458366,자갈,926,7,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.806126,129.4583,자갈,926,8,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.806187,129.458271,자갈,926,9,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,35.748228,129.488735,방벽,929,0,경주시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,35.748278,129.488666,방벽,929,1,경주시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,35.952829,129.545604,방벽,963,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,35.952896,129.545448,방벽,963,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.691049,129.468061,자갈,1018,0,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.69121,129.468097,자갈,1018,1,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.691277,129.468119,자갈,1018,2,울진군,polyline_point,국립해양조사원 해안선 2026
